Temporada,Fecha,EquipoLocal,GolesFavL5,GolesConL5,PuntosL5,PosicionLocal,GolesFav1L5,GolesCont1L5,EquipoVisitante, GolesFavV5,GolesConV5,PuntosV5,PosicionVisitante,GolesFav1V5,GolesCon1V5,Ganador,Goles Local,Goles Local primera parte,Goles Visitante,Goles Visitante primera parte
2020-21,2020-12-19,Ath Madrid,8,2,12,3,3.0,1.0,Elche,3,4,4,15,2.0,3.0,H,3.0,1.0,1.0,0.0
2020-21,2020-12-19,Barcelona,8,4,9,5,4.0,3.0,Valencia,8,6,6,14,3.0,3.0,D,2.0,1.0,2.0,1.0
2020-21,2020-12-19,Levante,6,4,6,20,3.0,1.0,Sociedad,4,4,6,1,3.0,3.0,H,2.0,1.0,1.0,1.0
2020-21,2020-12-19,Osasuna,3,11,1,18,2.0,4.0,Villarreal,6,4,7,4,4.0,3.0,A,1.0,0.0,3.0,2.0
2020-21,2020-12-19,Sevilla,7,3,12,6,2.0,2.0,Valladolid,9,7,10,16,3.0,2.0,D,1.0,1.0,1.0,0.0
2020-21,2020-12-20,Celta,12,6,10,10,8.0,4.0,Alaves,5,5,6,14,4.0,0.0,H,2.0,1.0,0.0,0.0
2020-21,2020-12-20,Granada,6,11,4,7,3.0,5.0,Betis,5,12,4,11,1.0,4.0,H,2.0,2.0,0.0,0.0
2020-21,2020-12-20,Cadiz,3,11,4,8,1.0,7.0,Getafe,2,8,2,18,1.0,5.0,A,0.0,0.0,2.0,1.0
2020-21,2020-12-20,Eibar,4,2,7,12,1.0,1.0,Real Madrid,8,4,10,3,3.0,1.0,A,1.0,1.0,3.0,2.0
2020-21,2020-12-22,Elche,3,6,3,18,1.0,3.0,Osasuna,4,13,1,19,2.0,6.0,D,2.0,0.0,2.0,1.0
2020-21,2020-12-22,Valencia,6,7,4,14,2.0,3.0,Sevilla,7,4,10,7,3.0,2.0,A,0.0,0.0,1.0,0.0
2020-21,2020-12-22,Huesca,5,7,5,20,2.0,1.0,Levante,7,4,8,17,4.0,1.0,D,1.0,1.0,1.0,0.0
2020-21,2020-12-22,Sociedad,4,6,3,3,4.0,4.0,Ath Madrid,7,3,12,2,2.0,1.0,A,0.0,0.0,2.0,0.0
2020-21,2020-12-22,Valladolid,8,7,8,16,2.0,3.0,Barcelona,10,5,10,6,5.0,3.0,A,0.0,0.0,3.0,2.0
2020-21,2020-12-22,Villarreal,6,4,7,4,4.0,2.0,Ath Bilbao,6,8,5,10,1.0,2.0,D,1.0,0.0,1.0,1.0
